ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF
9yt,Li24.0P4.0S20.0Cl1.0Br3.0,216,9.953,9.953,9.953,90,90,90,0.00186,10.1021/jacs.7b06327,Match
122,Li24.0P4.0S20.0Cl4.0,216,9.898,9.898,9.898,90,90,90,0.00205,10.1021/jacs.7b06327,Match
ij5,Li24.0P4.0S20.0Cl2.0Br2.0,216,9.952,9.952,9.952,90,90,90,0.00333,10.1021/jacs.7b06327,Match
6jf,Li24.0P4.0S20.0Br4.0,216,10.02,10.02,10.02,90,90,90,0.00115,10.1021/jacs.7b06327,Match
ymc,Li24.0P4.0S20.0Br2.0I2.0,216,10.109,10.109,10.109,90,90,90,2.62e-05,10.1021/jacs.7b06327,Match
ywe,Li24.0P4.0S20.0I4.0,216,10.181,10.181,10.181,90,90,90,1.3e-06,10.1021/jacs.7b06327,Match
kgl,Li24.0P4.0S20.0Cl3.0Br1.0,216,9.8911,9.8911,9.8911,90,90,90,0.00226,10.1021/jacs.7b06327,Match
vqj,Li24.0P4.0S20.0Br3.0I1.0,216,10.0336,10.0336,10.0336,90,90,90,0.000112,10.1021/jacs.7b06327,Match
h82,Li24.0P4.0S20.0Br1.0I3.0,216,10.1108,10.1108,10.1108,90,90,90,4.72e-06,10.1021/jacs.7b06327,Match
9zr,Li24.0P4.0S20.0Br4.0,216,9.9773,9.9773,9.9773,90,90,90,0.000701,10.1039/c7ta08581h,Match
a8v,Li24.1P3.9Si0.1S20.0Br4.0,216,9.9819,9.9819,9.9819,90,90,90,0.000878,10.1039/c7ta08581h,Match
09w,Li24.2P3.8Si0.2S20.0Br4.0,216,9.9871,9.9871,9.9871,90,90,90,0.000437,10.1039/c7ta08581h,Match
x2v,Li24.3P3.7Si0.3S20.0Br4.0,216,9.9938,9.9938,9.9938,90,90,90,0.000873,10.1039/c7ta08581h,Match
bnh,Li24.4P3.8Si0.4S20.0Br4.0,216,10.0024,10.0024,10.0024,90,90,90,0.000799,10.1039/c7ta08581h,Match
x9d,Li24.5P3.5Si0.5S20.0Br4.0,216,10.0098,10.0098,10.0098,90,90,90,0.000902,10.1039/c7ta08581h,Match
ish,Li24.7P3.3Si0.7S20.0Br4.0,216,10.0193,10.0193,10.0193,90,90,90,0.000931,10.1039/c7ta08581h,Match
iiy,Li24.8P3.2Si0.8S20.0Br4.0,216,10.024,10.024,10.024,90,90,90,0.00169,10.1039/c7ta08581h,Match
3zo,Li24.9P3.1Si0.9S20.0Br4.0,216,10.0315,10.0315,10.0315,90,90,90,0.00108,10.1039/c7ta08581h,Match
vj7,Li25.0P3.0Si1.0S20.0Br4.0,216,10.0365,10.0365,10.0365,90,90,90,0.00141,10.1039/c7ta08581h,Match
wsd,Li25.2P2.8Si1.2S20.0Br4.0,216,10.0521,10.0521,10.0521,90,90,90,0.00165,10.1039/c7ta08581h,Match
10s,Li25.4P2.6Si1.4S20.0Br4.0,216,10.0468,10.0468,10.0468,90,90,90,0.00234,10.1039/c7ta08581h,Match
fkj,Li26.0P2.0Si2.0S20.0Br4.0,216,10.0521,10.0521,10.0521,90,90,90,0.00219,10.1039/c7ta08581h,Match
24k,Li28.0Ge12.0P4.0S48.0,216,9.80192,9.80192,9.80192,90,90,90,0.00011,10.1016/j.jssc.2016.12.001,Match
tt3,Li24.0P4.0S20.0Cl4.0,216,9.8397,9.8397,9.8397,90,90,90,0.0013,10.1016/j.ssi.2012.06.008,No Match
nig,Li24.0P4.0S20.0Br4.0,216,9.988,9.988,9.988,90,90,90,0.00277,10.1021/acs.inorgchem.8b02443,Match
z16,Li24.0P4.0S19.6Se0.4Br4.0,216,9.9902,9.9902,9.9902,90,90,90,0.0032,10.1021/acs.inorgchem.8b02443,Match
hbz,Li24.0P4.0S19.2Se0.8Br4.0,216,9.9946,9.9946,9.9946,90,90,90,0.00392,10.1021/acs.inorgchem.8b02443,Match
uut,Li24.0P4.0S18.8Se1.2Br4.0,216,9.9974,9.9974,9.9974,90,90,90,0.00362,10.1021/acs.inorgchem.8b02443,Match
cju,Li24.0P4.0S18.4Se1.6Br4.0,216,10.0079,10.0079,10.0079,90,90,90,0.00364,10.1021/acs.inorgchem.8b02443,Match
d9l,Li24.0P4.0S18.0Se2.0Br4.0,216,10.0176,10.0176,10.0176,90,90,90,0.00268,10.1021/acs.inorgchem.8b02443,Match
96f,Li24.0P4.0S17.6Se2.4Br4.0,216,10.0259,10.0259,10.0259,90,90,90,0.00278,10.1021/acs.inorgchem.8b02443,Match
1kq,Li24.0P4.0S17.2Se2.8Br4.0,216,10.0265,10.0265,10.0265,90,90,90,0.00301,10.1021/acs.inorgchem.8b02443,Match
c6e,Li24.0P4.0S16.8Se3.2Br4.0,216,10.0332,10.0332,10.0332,90,90,90,0.00348,10.1021/acs.inorgchem.8b02443,Match
t2c,Li24.0P4.0S16.4Se3.6Br4.0,216,10.0418,10.0418,10.0418,90,90,90,0.00382,10.1021/acs.inorgchem.8b02443,Match
dlj,Li24.0P4.0S16.0Se4.0Br4.0,216,10.0522,10.0522,10.0522,90,90,90,0.00361,10.1021/acs.inorgchem.8b02443,Match
w87,Li24.0P4.0S20.0Br4.0,216,9.98,9.98,9.98,90,90,90,3.2e-05,10.1002/pssa.201001117,Close Match
97p,Li24.0P4.0S20.0Cl4.0,216,9.85,9.85,9.85,90,90,90,3.3e-05,10.1002/pssa.201001117,Close Match
p9u,Li24.0P4.0S20.0I4.0,216,10.142,10.142,10.142,90,90,90,0.00022,10.1002/pssa.201001117,Close Match
5wz,Li24.0P4.0S20.0I4.0,216,10.1452,10.1452,10.1452,90,90,90,1.26e-06,10.1021/jacs.8b10282,Close Match
5gj,Li24.4P3.6Ge0.4S20.0I4.0,216,10.1669,10.1669,10.1669,90,90,90,8.86e-06,10.1021/jacs.8b10282,No Match
t17,Li24.6P3.4Ge0.6S20.0I4.0,216,10.1805,10.1805,10.1805,90,90,90,3.93e-05,10.1021/jacs.8b10282,No Match
kf7,Li24.8P3.2Ge0.8S20.0I4.0,216,10.1847,10.1847,10.1847,90,90,90,3.19e-05,10.1021/jacs.8b10282,No Match
utv,Li25.0P3.0Ge1.0S20.0I4.0,216,10.1931,10.1931,10.1931,90,90,90,0.00015,10.1021/jacs.8b10282,No Match
q9f,Li25.2P2.8Ge1.2S20.0I4.0,216,10.2058,10.2058,10.2058,90,90,90,0.00065,10.1021/jacs.8b10282,No Match
5qw,Li25.6P2.4Ge1.6S20.0I4.0,216,10.2297,10.2297,10.2297,90,90,90,0.0015,10.1021/jacs.8b10282,No Match
znj,Li26.0P2.0Ge2.0S20.0I4.0,216,10.2431,10.2431,10.2431,90,90,90,0.00186,10.1021/jacs.8b10282,No Match
pa1,Li26.4P1.6Ge2.4S20.0I4.0,216,10.2431,10.2431,10.2431,90,90,90,0.00521,10.1021/jacs.8b10282,Close Match
lxk,Li26.8P1.2Ge2.8S20.0I4.0,216,10.2851,10.2851,10.2851,90,90,90,0.00554,10.1021/jacs.8b10282,Match
1m8,Li27.2P0.8Ge3.2S20.0I4.0,216,10.2998,10.2998,10.2998,90,90,90,0.00258,10.1021/jacs.8b10282,Match
xnb,Li20.0P4.0S16.0B8.0H32.0,216,10.01,10.01,10.01,90,90,90,0.0018,10.1021/acsomega.8b00377,No Match
ga9,Li8.0Ce8.0B24.0H96.0Cl8.0,217,11.72,11.72,11.72,90,90,90,0.000103,10.1021/cm300792t,Match
240,Li64.0Ge8.0P32.0,218,11.7831,11.7831,11.7831,90,90,90,8.6e-05,10.1021/acs.chemmater.8b02759,Match
6l9,Li32.0B56.0O96.0Cl8.0,219,12.167,12.167,12.167,90,90,90,2e-06,10.1107/s0567740877009443,Match
mtr,Fe1.28La23.6Li45.44Zr16.0O96.0,220,12.9783,12.9783,12.9783,90,90,90,0.000935,10.1021/acs.chemmater.6b02516,Match
s2v,Fe1.52La23.6Li44.56Zr16.0O96.0,220,12.9769,12.9769,12.9769,90,90,90,0.00138,10.1021/acs.chemmater.6b02516,Match
4p7,Li3.0Cl1.0O1.0,221,3.91,3.91,3.91,90,90,90,0.025,10.1039/c3ta15087a,Close Match
gas,Li0.31La0.63Ti0.9Co0.1O3.0,221,3.8845,3.8845,3.8845,90,90,90,0.00026,10.1016/j.mseb.2004.07.003,Match
f5n,Li2.0O0.9H0.9F0.1Cl1.0,221,3.91,3.91,3.91,90,90,90,3.86e-05,10.1002/anie.201604554,No Match
hx7,Li2.0O1.0H1.0Br1.0,221,4.056,4.056,4.056,90,90,90,1.2e-06,10.1002/ange.201604554,Close Match
lk8,La0.55Li0.45Ti0.9Al0.1O3.0,221,3.8697,3.8697,3.8697,90,90,90,0.00151,10.1016/j.jallcom.2017.05.278,Match
lud,La0.6Li0.4Ti0.8Al0.2O3.0,221,3.8617,3.8617,3.8617,90,90,90,0.000568,10.1016/j.jallcom.2017.05.278,Match
vlm,La0.65Li0.35Ti0.7Al0.3O3.0,221,3.8594,3.8594,3.8594,90,90,90,0.000161,10.1016/j.jallcom.2017.05.278,Match
gwu,La0.7Li0.3Ti0.6Al0.4O3.0,221,3.8472,3.8472,3.8472,90,90,90,1.04e-07,10.1016/j.jallcom.2017.05.278,Match
oi4,Li0.38Sr0.44Hf0.25Ta0.75O3.0,221,3.992,3.992,3.992,90,90,90,0.00038,10.1021/acsami.6b03070,No Match
lcx,La0.6Sr0.06Li0.06Ti1.0O3.0,221,5.477,5.477,5.477,90,90,90,1.13e-05,10.1021/cm020609u,No Match
mam,La0.56Sr0.1Li0.1Ti1.0O3.0,221,5.481,5.481,5.481,90,90,90,1.37e-05,10.1021/cm020609u,No Match
0jx,La0.51Sr0.15Li0.15Ti1.0O3.0,221,5.489,5.489,5.489,90,90,90,5.3e-05,10.1021/cm020609u,No Match
lyq,La0.41Sr0.25Li0.25Ti1.0O3.0,221,5.495,5.495,5.495,90,90,90,7.64e-05,10.1021/cm020609u,No Match
2tt,La0.39Sr0.28Li0.28Ti1.0O3.0,221,5.497,5.497,5.497,90,90,90,6.04e-05,10.1021/cm020609u,No Match
xy0,La0.36Sr0.3Li0.3Ti1.0O3.0,221,5.499,5.499,5.499,90,90,90,1.92e-05,10.1021/cm020609u,No Match
epv,La0.58Li0.27Ti1.0O3.0,221,3.8771,3.8771,3.8771,90,90,90,0.000832,10.1016/s0167-2738(98)00070-8,No Match
v7r,La0.56Li0.33Ti1.0O3.0,221,3.8751,3.8751,3.8751,90,90,90,0.0013,10.1016/s0167-2738(98)00070-8,No Match
yhc,La0.55Li0.36Ti1.0O3.0,221,3.8738,3.8738,3.8738,90,90,90,0.00154,10.1016/s0167-2738(98)00070-8,No Match
q3c,La0.54Li0.39Ti1.0O3.0,221,3.8726,3.8726,3.8726,90,90,90,0.00125,10.1016/s0167-2738(98)00070-8,No Match
pdv,La0.52Li0.45Ti1.0O3.0,221,3.8723,3.8723,3.8723,90,90,90,0.000785,10.1016/s0167-2738(98)00070-8,No Match
sv7,La0.51Li0.34Ti1.0O2.94,221,3.871,3.871,3.871,90,90,90,0.001,10.1016/0167-2738(94)90309-3,No Match
qbb,Li3.0O1.0Br1.0,221,4.05,4.05,4.05,90,90,90,1.1e-06,10.1016/j.ssi.2015.11.027,Close Match
o23,Li0.25La0.25Ta1.0O3.0,221,3.9063,3.9063,3.9063,90,90,90,2.61e-05,10.1016/s0167-2738(98)00414-7,No Match
w1l,Li0.5Sr0.5Cr0.25Ta0.75O3.0,221,3.9503,3.9503,3.9503,90,90,90,6e-05,10.1016/s0378-7753(97)02645-1,No Match
jce,Li0.5Sr0.5Fe0.25Ta0.75O3.0,221,3.9639,3.9639,3.9639,90,90,90,0.0001,10.1016/s0378-7753(97)02645-1,No Match
9ph,Li0.76La2.68Ti3.6Co0.4O12.0,225,7.7722,7.7722,7.7722,90,90,90,0.000108,10.1016/j.mseb.2004.07.003,Match
kkn,Li24.0N4.0Br12.0,225,8.9334,8.9334,8.9334,90,90,90,1e-08,10.1016/j.jallcom.2015.01.082,Close Match
m0v,Li10.72Ti13.28O32.0,227,8.362,8.362,8.362,90,90,90,6.03e-08,10.1016/j.ssi.2010.06.003,Match
6du,Li10.14Mg0.8Ti13.07O32.0,227,8.3649,8.3649,8.3649,90,90,90,1.73e-08,10.1016/j.ssi.2010.06.003,Match
u0c,Li9.6Mg1.6Ti12.8O32.0,227,8.3666,8.3666,8.3666,90,90,90,4.24e-09,10.1016/j.ssi.2010.06.003,Match
xub,Li9.12Mg2.4Ti12.48O32.0,227,8.3703,8.3703,8.3703,90,90,90,1.51e-09,10.1016/j.ssi.2010.06.003,Match
bjw,Li16.0Mn8.0Cl32.0,227,10.481,10.481,10.481,90,90,90,4.79e-06,10.1016/0167-2738(83)90223-0,Close Match
dvn,Li16.0Mg8.0Cl32.0,227,10.416,10.416,10.416,90,90,90,6.24e-07,10.1016/0167-2738(83)90223-0,Close Match
t3k,Li15.2Mn7.2Ga0.8Cl32.0,227,10.4881,10.4881,10.4881,90,90,90,2.37e-07,10.1016/s0167-2738(96)00592-9,Match
uxi,Li13.2Mn5.2In2.8Cl32.0,227,10.4696,10.4696,10.4696,90,90,90,9.9e-08,10.1016/s0167-2738(96)00592-9,Match
r5y,Li1.6Cd8.0Cl32.0,227,10.635,10.635,10.635,90,90,90,5.8e-07,10.1016/0025-5408(81)90142-2,No Match
ek5,Li8.0Sr8.0Nb16.0O48.0F8.0,227,10.4837,10.4837,10.4837,90,90,90,1e-15,10.2497/jjspm.65.26,Match
xut,Li8.0Sr8.0Ta16.0O48.0F8.0,227,10.464,10.464,10.464,90,90,90,1e-15,10.2497/jjspm.65.26,Match
ckw,Li8.0Sr7.2Nb16.0O48.0F6.4,227,10.4909,10.4909,10.4909,90,90,90,1e-15,10.2497/jjspm.65.26,Match
yab,Li8.0Sr7.2Ta16.0O48.0F6.4,227,10.4687,10.4687,10.4687,90,90,90,1e-15,10.2497/jjspm.65.26,Match
ysm,Li8.8Sr8.0Nb15.2Zr0.8O48.0F8.0,227,10.4885,10.4885,10.4885,90,90,90,1e-15,10.2497/jjspm.65.26,Match
e81,Li8.8Sr8.0Ta15.2Zr0.8O48.0F8.0,227,10.4699,10.4699,10.4699,90,90,90,1e-15,10.2497/jjspm.65.26,Match
3qz,Li56.0La24.0Zr16.0O96.0,230,12.972,12.972,12.972,90,90,90,0.00012,10.1039/c2jm31413d,No Match
cjq,Li48.0Sr8.0La16.0Nb16.0O96.0,230,12.811,12.811,12.811,90,90,90,4.2e-06,10.1111/j.1551-2916.2005.00060.x,No Match
uaz,Li48.0Ca8.0La16.0Nb16.0O96.0,230,12.697,12.697,12.697,90,90,90,1.6e-06,10.1111/j.1551-2916.2005.00060.x,Close Match
aax,Li42.0Ba2.0La22.0Ta16.0O96.0,230,12.8427,12.8427,12.8427,90,90,90,7.41e-06,10.1007/s11581-007-0097-8,No Match
o86,Li44.0Ba4.0La20.0Ta16.0O96.0,230,12.8859,12.8859,12.8859,90,90,90,1.41e-05,10.1007/s11581-007-0097-8,No Match
coi,Li50.0Ba10.0La14.0Ta16.0O96.0,230,12.9934,12.9934,12.9934,90,90,90,4.99e-05,10.1007/s11581-007-0097-8,No Match
3vi,Li52.0Ba12.0La12.0Ta16.0O96.0,230,12.9855,12.9855,12.9855,90,90,90,3.08e-05,10.1007/s11581-007-0097-8,No Match
vwn,Li54.0Ba14.0La10.0Ta16.0O96.0,230,12.9813,12.9813,12.9813,90,90,90,1.18e-05,10.1007/s11581-007-0097-8,No Match
tlp,Li56.0Ba16.0La8.0Ta16.0O96.0,230,12.9646,12.9646,12.9646,90,90,90,2.85e-06,10.1007/s11581-007-0097-8,No Match
ka6,Li40.0La24.0Ta16.0O96.0,230,12.7814,12.7814,12.7814,90,90,90,6.61e-06,10.1007/s11581-007-0097-8,Close Match
7o7,Li48.0Ba8.0La16.0Ta16.0O96.0,230,12.9748,12.9748,12.9748,90,90,90,2.95e-05,10.1007/s11581-007-0097-8,Close Match
d6f,Li56.0La24.0Zr15.12Al1.2O96.0,230,13,13,13,90,90,90,0.00034,10.1016/j.jpowsour.2013.03.049,No Match
dvs,Li56.48La24.0Y0.48Zr15.52O96.0,230,12.9672,12.9672,12.9672,90,90,90,0.00081,10.1016/j.elecom.2011.08.014,No Match
3o4,Li50.0La24.0Zr16.0Ga2.0O96.0,230,12.971,12.971,12.971,90,90,90,0.00035,10.1016/j.matchemphys.2012.03.054,No Match
kji,Li51.2La24.0Zr11.2Ta4.8O96.0,230,12.922,12.922,12.922,90,90,90,0.001,10.1039/c2jm31413d,Close Match
gdr,Li49.6La24.0Zr9.6Ta6.4O96.0,230,12.908,12.908,12.908,90,90,90,0.00032,10.1039/c2jm31413d,Close Match
v1q,Li54.4La24.0Zr14.4Ta1.6O96.0,230,12.978,12.978,12.978,90,90,90,0.00073,10.1149/2.024205esl,No Match
4vd,Li54.0La24.0Zr14.0Ta2.0O96.0,230,12.9801,12.9801,12.9801,90,90,90,0.00063,10.1149/2.024205esl,No Match
5xk,Li53.2La24.0Zr13.2Ta2.8O96.0,230,12.9591,12.9591,12.9591,90,90,90,0.00046,10.1149/2.024205esl,No Match
2wb,Li52.8La24.0Zr12.8Ta3.2O96.0,230,12.947,12.947,12.947,90,90,90,0.00047,10.1149/2.024205esl,Close Match
zfg,Li52.4La24.0Zr12.4Ta3.6O96.0,230,12.9489,12.9489,12.9489,90,90,90,0.0004,10.1149/2.024205esl,No Match
6hq,Li48.0La24.0Zr8.0Ta8.0O96.0,230,12.89,12.89,12.89,90,90,90,0.00035,10.1149/2.024205esl,No Match
hcm,Li40.0La24.0Ta16.0O96.0,230,12.8311,12.8311,12.8311,90,90,90,3.4e-05,10.1149/2.024205esl,Close Match
e6a,Li53.6La24.0Zr13.6Ta2.4O96.0,230,12.9721,12.9721,12.9721,90,90,90,0.00069,10.1149/2.024205esl,Close Match
g5q,Li52.0La24.0Zr12.0Ta4.0O96.0,230,12.9187,12.9187,12.9187,90,90,90,0.00028,10.1149/2.024205esl,Close Match
4ie,Li48.4Ga2.0La24.0Zr16.0O94.4F1.6,230,12.9689,12.9689,12.9689,90,90,90,0.00128,10.1021/acsami.8b17656,Match
5z8,Li45.76Al2.08La24.0Zr12.0W2.0O96.0,230,12.954,12.954,12.954,90,90,90,0.00049,10.1021/acs.chemmater.5b02429,No Match
5d6,Li54.4La24.0Zr15.2Mo0.8O96.0,230,12.9697,12.9697,12.9697,90,90,90,8e-05,10.1021/acs.inorgchem.5b01895,No Match
ciq,Li52.8La24.0Zr14.4Mo1.6O96.0,230,12.969,12.969,12.969,90,90,90,0.000311,10.1021/acs.inorgchem.5b01895,No Match
suz,Li51.2La24.0Zr13.6Mo2.4O96.0,230,12.9552,12.9552,12.9552,90,90,90,0.000369,10.1021/acs.inorgchem.5b01895,No Match
1tk,Li49.6La24.0Zr12.8Mo3.2O96.0,230,12.9532,12.9532,12.9532,90,90,90,0.00034,10.1021/acs.inorgchem.5b01895,No Match
9o6,Li52.0La24.0Zr14.0Mo2.0O96.0,230,12.9556,12.9556,12.9556,90,90,90,0.000333,10.1021/acs.inorgchem.5b01895,Match
r07,Li54.0La24.0Zr15.0Te1.0O96.0,230,12.9469,12.9469,12.9469,90,90,90,0.00033,10.1016/j.jpowsour.2013.03.166,No Match
uht,Li52.0La24.0Zr14.0Te2.0O96.0,230,12.9134,12.9134,12.9134,90,90,90,0.00102,10.1016/j.jpowsour.2013.03.166,No Match
kbq,Li40.0La24.0Bi16.0O96.0,230,13.0652,13.0652,13.0652,90,90,90,1.9e-05,10.1016/j.mseb.2007.07.009,Match
uw9,Li48.0La16.0Sr8.0Bi16.0O96.0,230,13.0893,13.0893,13.0893,90,90,90,2e-05,10.1016/j.mseb.2007.07.009,Match
vqu,Li40.0Nd24.0Sb16.0O96.0,230,12.6624,12.6624,12.6624,90,90,90,1.3e-07,10.1016/j.materresbull.2007.04.002,Match
lpt,Li32.0Nd24.0Te8.0Sb8.0O96.0,230,12.6214,12.6214,12.6214,90,90,90,8.7e-09,10.1021/cm703677q,Match
xog,Li40.0La24.0Sb16.0O96.0,230,12.8566,12.8566,12.8566,90,90,90,7.8e-06,10.1016/j.materresbull.2007.10.035,Match
bi3,Li48.0Sr8.0La16.0Sb16.0O96.0,230,12.8933,12.8933,12.8933,90,90,90,6.3e-06,10.1016/j.materresbull.2007.10.035,Match
gcj,Li48.0La16.0Ca8.0Nb16.0O96.0,230,12.7218,12.7218,12.7218,90,90,90,1.33e-06,10.1016/j.ssi.2008.01.047,Match
20k,Li48.0La16.0Sr8.0Nb16.0O96.0,230,12.8308,12.8308,12.8308,90,90,90,3.69e-06,10.1016/j.ssi.2008.01.047,Match
jej,Li48.0Ca8.0La16.0Ta16.0O96.0,230,12.725,12.725,12.725,90,90,90,2.2e-06,10.1016/j.ssi.2008.10.022,Match
hud,Li48.0Ba8.0La16.0Ta16.0O96.0,230,13.001,13.001,13.001,90,90,90,1.3e-05,10.1016/j.ssi.2008.10.022,Match
4uu,Li49.2La24.0Zr14.0Ta2.0Ga1.6O96.0,230,12.95,12.95,12.95,90,90,90,0.00041,10.1016/j.jpowsour.2012.01.131,No Match
sdz,Li49.2La24.0Zr14.0Ta2.0Al1.6O96.0,230,12.95,12.95,12.95,90,90,90,0.00037,10.1016/j.jpowsour.2012.01.131,No Match
7w5,Li54.0La24.0Zr14.0Ta2.0O96.0,230,12.96,12.96,12.96,90,90,90,0.00087,10.1016/j.jpowsour.2012.01.131,Close Match
etz,Li56.0La24.0Zr16.0O96.0,230,12.9727,12.9727,12.9727,90,90,90,1.97e-06,10.1039/c1cp22108f,Close Match
ner,Li48.0Ba8.0La16.0Ta16.0O96.0,230,12.995,12.995,12.995,90,90,90,1.69e-05,10.1016/j.materresbull.2012.04.032,Match
z2s,Nd24.0Zr16.0Al4.0Li44.0O96.0,230,12.8158,12.8158,12.8158,90,90,90,3.9e-05,10.1039/c3ta13252h,Match
72f,Li50.08Al1.92La24.0Zr16.0O96.0,230,12.9633,12.9633,12.9633,90,90,90,0.00021,10.1016/j.ssi.2015.04.011,Match
j5g,Li48.0La24.0Nb12.0Y4.0O96.0,230,12.9136,12.9136,12.9136,90,90,90,0.000188,10.1021/jp304737x,Match
dvb,Li41.6La24.0Nb15.2Y0.8O96.0,230,12.8216,12.8216,12.8216,90,90,90,6.39e-05,10.1021/jp304737x,Match
cti,Li43.2La24.0Nb14.4Y1.6O96.0,230,12.8306,12.8306,12.8306,90,90,90,6.74e-05,10.1021/jp304737x,Match
2d1,Li44.0La24.0Nb14.0Y2.0O96.0,230,12.8582,12.8582,12.8582,90,90,90,9.18e-05,10.1021/jp304737x,Match
sqm,Li48.0Ba4.0Sr4.0La16.0Ta16.0O96.0,230,12.9205,12.9205,12.9205,90,90,90,7.1e-06,10.1021/am4060194,Match
zxr,Li48.0Sr8.0La16.0Ta16.0O96.0,230,12.8464,12.8464,12.8464,90,90,90,5.4e-06,10.1021/am4060194,Match
h89,Li48.0Ba8.0La16.0Ta16.0O96.0,230,12.9973,12.9973,12.9973,90,90,90,1.5e-05,10.1021/am4060194,Match
l9r,Li48.0Ca8.0La16.0Ta16.0O96.0,230,12.7088,12.7088,12.7088,90,90,90,2.2e-06,10.1021/am4060194,Match
544,Li48.0Ba8.0La16.0Ta16.0O96.0,199,12.946,12.946,12.946,90,90,90,4e-05,10.1002/adfm.200400044,No Match
ps0,Li48.0Sr8.0La16.0Ta16.0O96.0,199,12.808,12.808,12.808,90,90,90,7e-06,10.1002/adfm.200400044,No Match
ueu,Li45.92La24.0Zr12.0Ta4.0O96.0,230,12.93,12.93,12.93,90,90,90,0.000903,10.1002/aenm.201570062|10.1002/aenm.201500096,Match
uwh,La24.0Li40.64Ta12.08Zr3.12O96.0,230,12.84,12.84,12.84,90,90,90,0.000103,10.1002/aenm.201570062|10.1002/aenm.201500096,Match
wa3,Li51.2Al1.6La24Zr16O96,230,12.959,12.959,12.959,90,90,90,0.000254,10.1038/srep18053,Match
l6h,Li49.6Al1.6La24Zr14.4Ta1.6O96,230,12.958,12.958,12.958,90,90,90,0.000614,10.1038/srep18053,Match
gz8,Li40.0La24.0Ta16.0O96.0,230,12.8176,12.8176,12.8176,90,90,90,1.59e-05,10.1021/acs.inorgchem.7b00816,Match
419,Li42.4La24.0Ta14.8Sm1.2O96.0,230,12.8108,12.8108,12.8108,90,90,90,7.11e-06,10.1021/acs.inorgchem.7b00816,Match
c0g,Li44.0La24.0Ta14.0Sm2.0O96.0,230,12.8206,12.8206,12.8206,90,90,90,5.17e-06,10.1021/acs.inorgchem.7b00816,Match
kbu,Li45.6La24.0Ta13.2Sm2.8O96.0,230,12.8309,12.8309,12.8309,90,90,90,2.15e-05,10.1021/acs.inorgchem.7b00816,Match
fam,Li47.2La24.0Ta12.4Sm3.6O96.0,230,12.846,12.846,12.846,90,90,90,1.18e-05,10.1021/acs.inorgchem.7b00816,Match
dae,Li48.8La24.0Ta11.6Sm4.4O96.0,230,12.8525,12.8525,12.8525,90,90,90,1.4e-05,10.1021/acs.inorgchem.7b00816,Match
9p1,Li56.0La24.0Zr16.0O96.0,230,12.9682,12.9682,12.9682,90,90,90,0.000569,10.1016/j.ssi.2010.12.010,No Match
gkl,Li40.0La24.0Nb16.0O96.0,230,12.718,12.718,12.718,90,90,90,5.08e-06,10.1016/j.jpowsour.2011.05.031,Close Match
ijh,Li40.0La24.0Nb15.6Y0.4O96.0,230,12.717,12.717,12.717,90,90,90,1.34e-05,10.1016/j.jpowsour.2011.05.031,No Match
q46,Li40.0La24.0Nb15.2Y0.8O96.0,230,12.717,12.717,12.717,90,90,90,1.44e-05,10.1016/j.jpowsour.2011.05.031,No Match
8m3,Li40.0La24.0Nb14.8Y1.2O96.0,230,12.732,12.732,12.732,90,90,90,5.71e-06,10.1016/j.jpowsour.2011.05.031,No Match
zyx,Li40.0La24.0Nb14.4Y1.6O96.0,230,12.743,12.743,12.743,90,90,90,9.13e-06,10.1016/j.jpowsour.2011.05.031,No Match
qvu,Li40.0La24.0Nb14.0Y2.0O96.0,230,12.717,12.717,12.717,90,90,90,9.68e-06,10.1016/j.jpowsour.2011.05.031,No Match
v07,La24.0Zr16.0Ga4.0Li44.0O96.0,230,12.9697,12.9697,12.9697,90,90,90,0.0001,10.1039/c2dt31318a,No Match
whw,Li54.4La24.0Zr14.4Sb1.6O96.0,230,12.9755,12.9755,12.9755,90,90,90,5.9e-05,10.1039/c3cp50991e,No Match
duf,Li52.8La24.0Zr12.8Sb3.2O96.0,230,12.9596,12.9596,12.9596,90,90,90,0.00077,10.1039/c3cp50991e,Close Match
dll,Li51.2La24.0Zr11.2Sb4.8O96.0,230,12.9518,12.9518,12.9518,90,90,90,0.00066,10.1039/c3cp50991e,No Match
i90,Li49.6La24.0Zr9.6Sb6.4O96.0,230,12.9248,12.9248,12.9248,90,90,90,0.00045,10.1039/c3cp50991e,No Match
dm9,Li48.0La24.0Zr8.0Sb8.0O96.0,230,12.9237,12.9237,12.9237,90,90,90,0.00026,10.1039/c3cp50991e,No Match
bqx,Li24.0Nd24.0Te16.0O96.0,230,12.5625,12.5625,12.5625,90,90,90,1e-15,10.1021/cm060992t,No Match
32j,Li56.0La24.0Hf16.0O96.0,230,12.938,12.938,12.938,90,90,90,0.00024,10.1007/s11581-010-0486-2,No Match
z53,Li52.8La24.0Zr12.8Ta3.2O96.0,230,12.9594,12.9594,12.9594,90,90,90,0.000313,10.1021/am503731h,No Match
8y4,Li52.8La23.0Y1.0Zr12.8Ta3.2O96.0,230,12.9572,12.9572,12.9572,90,90,90,0.000317,10.1021/am503731h,No Match
ucw,Li52.8La22.0Y2.0Zr12.8Ta3.2O96.0,230,12.9506,12.9506,12.9506,90,90,90,0.000436,10.1021/am503731h,No Match
